Student ID,Name,Phone Number,Hostel Room,Room Type,Payment,Status
TP051261,Upton Pickton,795-662-8376,A-12-2,2 Person Shared Room,600,Paid
TP038443,Bunny Stych,568-807-3704,A-12-2,4 Person Shared Room,300,Paid
TP053774,Jasper Benge,964-814-6969,B-13-5,Master Room,1100,Paid
TP003352,Lee Smylie,387-711-9687,A-12-2,Medium Room,900,Pending
TP019328,Ralph Yesenev,282-973-3565,A-12-3,2 Person Shared Room,600,Paid
TP014227,Bernadine Shekle,172-862-9775,B-13-5,Small Room,800,Pending
TP001696,Maxie McCrachen,116-461-5658,A-12-3,Small Room,800,Pending
TP021637,Georg Bolliver,924-516-1814,A-12-2,2 Person Shared Room,600,Paid
TP050004,Stephani M'Barron,379-563-2488,A-09-4,Medium Room,900,Paid
TP043603,Annamarie Vizor,134-126-8674,A-12-3,4 Person Shared Room,300,Paid
TP005012,Margette Kamienski,827-258-3601,B-13-5,2 Person Shared Room,600,Paid
TP081683,Nicholas Treby,209-944-9293,A-12-3,4 Person Shared Room,300,Paid
TP087655,Allen Veitch,221-405-7611,B-09-3,2 Person Shared Room,600,Pending
TP048925,Keven MacAndie,761-643-9375,A-09-4,2 Person Shared Room,600,Paid
TP079256,Dorette Avison,322-362-5122,A-12-2,Master Room,1100,Pending
TP068257,Maurizia Burren,612-406-5444,A-12-3,Small Room,800,Paid
TP037596,Nicola McGlynn,653-911-0750,B-13-5,2 Person Shared Room,600,Pending
TP052745,Jarrid Lamperd,972-571-1644,A-05-2,Small Room,800,Pending
TP058606,Rosalynd Gresham,642-282-5136,A-12-3,4 Person Shared Room,300,Pending
TP017048,Hedwiga Castagneri,152-279-2525,A-12-2,Medium Room,900,Pending
TP070339,Caren Readhead,617-532-6297,A-09-4,Medium Room,900,Paid
TP097354,Lucho Rivett,490-705-5539,B-09-3,4 Person Shared Room,300,Paid
TP098574,Barb Peterson,584-923-6570,B-09-3,Master Room,1100,Paid
TP073367,Miranda Waddingham,664-242-6807,B-09-3,Master Room,1100,Pending
TP003342,Hammad Vernon,170-349-7323,A-12-3,2 Person Shared Room,600,Pending
TP037060,Wald Shackelton,504-370-7498,A-05-2,Medium Room,900,Pending
TP097333,Birch Arnoult,900-982-5495,A-09-4,4 Person Shared Room,300,Paid
TP051162,Matthaeus Rubinovitch,587-297-4905,A-12-3,2 Person Shared Room,600,Paid
TP083262,Constantina Lazar,933-892-7243,B-09-3,4 Person Shared Room,300,Paid
TP071521,Harold Garces,198-600-0480,B-13-5,Master Room,1100,Paid
TP071953,Riane Yerrell,135-259-7959,A-12-2,Medium Room,900,Paid
TP018938,Denice Stanman,934-207-4405,A-12-2,2 Person Shared Room,600,Paid
TP038497,Reeba MacGragh,176-279-9178,B-13-5,Medium Room,900,Paid
TP070766,Helga Mitchelmore,178-818-9647,A-12-2,Master Room,1100,Pending
TP058350,Susie Camoys,210-814-8665,B-09-3,2 Person Shared Room,600,Pending
TP090225,Iona Camell,411-315-2412,B-13-5,Medium Room,900,Paid
